quarter_code,quarter,simple_average_brl,median_brl,min_brl,max_brl
202102,2º trimestre 2021,2868.89,2662.0,1868.0,5669.0
202103,3º trimestre 2021,2796.85,2734.0,1885.0,5240.0
202104,4º trimestre 2021,2729.56,2626.0,1771.0,5158.0
202201,1º trimestre 2022,2754.3,2678.0,1813.0,5147.0
202202,2º trimestre 2022,2783.41,2719.0,1869.0,5236.0
202203,3º trimestre 2022,2908.44,2727.0,1937.0,5673.0
202204,4º trimestre 2022,2958.7,2898.0,1975.0,5549.0
202301,1º trimestre 2023,2968.48,2797.0,2075.0,5561.0
202302,2º trimestre 2023,2971.37,2871.0,2017.0,5445.0
202303,3º trimestre 2023,3011.19,2972.0,2024.0,5523.0
202304,4º trimestre 2023,3032.59,2987.0,2010.0,5632.0
202401,1º trimestre 2024,3054.41,2884.0,2050.0,5536.0
202402,2º trimestre 2024,3119.93,2939.0,2227.0,5568.0
202403,3º trimestre 2024,3122.04,2940.0,2202.0,5785.0
202404,4º trimestre 2024,3172.81,3067.0,2164.0,5729.0
202501,1º trimestre 2025,3218.33,3110.0,2150.0,5767.0
202502,2º trimestre 2025,3246.44,3196.0,2203.0,6082.0
202503,3º trimestre 2025,3294.04,3164.0,2222.0,6278.0
202504,4º trimestre 2025,3375.19,3333.0,2155.0,6304.0
202601,1º trimestre 2026,3437.41,3412.0,2240.0,6720.0
