quarter_code,quarter,year,quarter_number,state_code,state,region,income_real_brl,source_table,source_variable
202102,2º trimestre 2021,2021,2,11,Rondônia,Norte,2583.0,6472,5933
202102,2º trimestre 2021,2021,2,12,Acre,Norte,2713.0,6472,5933
202102,2º trimestre 2021,2021,2,13,Amazonas,Norte,2329.0,6472,5933
202102,2º trimestre 2021,2021,2,14,Roraima,Norte,2662.0,6472,5933
202102,2º trimestre 2021,2021,2,15,Pará,Norte,2228.0,6472,5933
202102,2º trimestre 2021,2021,2,16,Amapá,Norte,2779.0,6472,5933
202102,2º trimestre 2021,2021,2,17,Tocantins,Norte,2607.0,6472,5933
202102,2º trimestre 2021,2021,2,21,Maranhão,Nordeste,1868.0,6472,5933
202102,2º trimestre 2021,2021,2,22,Piauí,Nordeste,1957.0,6472,5933
202102,2º trimestre 2021,2021,2,23,Ceará,Nordeste,2173.0,6472,5933
202102,2º trimestre 2021,2021,2,24,Rio Grande do Norte,Nordeste,2613.0,6472,5933
202102,2º trimestre 2021,2021,2,25,Paraíba,Nordeste,2238.0,6472,5933
202102,2º trimestre 2021,2021,2,26,Pernambuco,Nordeste,2348.0,6472,5933
202102,2º trimestre 2021,2021,2,27,Alagoas,Nordeste,2091.0,6472,5933
202102,2º trimestre 2021,2021,2,28,Sergipe,Nordeste,2425.0,6472,5933
202102,2º trimestre 2021,2021,2,29,Bahia,Nordeste,2118.0,6472,5933
202102,2º trimestre 2021,2021,2,31,Minas Gerais,Sudeste,2833.0,6472,5933
202102,2º trimestre 2021,2021,2,32,Espírito Santo,Sudeste,2971.0,6472,5933
202102,2º trimestre 2021,2021,2,33,Rio de Janeiro,Sudeste,4148.0,6472,5933
202102,2º trimestre 2021,2021,2,35,São Paulo,Sudeste,4082.0,6472,5933
202102,2º trimestre 2021,2021,2,41,Paraná,Sul,3426.0,6472,5933
202102,2º trimestre 2021,2021,2,42,Santa Catarina,Sul,3644.0,6472,5933
202102,2º trimestre 2021,2021,2,43,Rio Grande do Sul,Sul,3515.0,6472,5933
202102,2º trimestre 2021,2021,2,50,Mato Grosso do Sul,Centro-Oeste,3265.0,6472,5933
202102,2º trimestre 2021,2021,2,51,Mato Grosso,Centro-Oeste,3141.0,6472,5933
202102,2º trimestre 2021,2021,2,52,Goiás,Centro-Oeste,3034.0,6472,5933
